title,url,rank,list_items,sections
Poiana,http://en.wikipedia.org/wiki/Poiana,72,137,14
Labour Party,http://en.wikipedia.org/wiki/Labour_Party,73,136,85
St. Andrew's Church,http://en.wikipedia.org/wiki/St._Andrew%27s_Church,74,135,14
Central High School,http://en.wikipedia.org/wiki/Central_High_School,75,134,44
Lincoln Township,http://en.wikipedia.org/wiki/Lincoln_Township,75,134,15
Best Actress,http://en.wikipedia.org/wiki/Best_Actress,77,133,3
Dowlatabad,http://en.wikipedia.org/wiki/Dowlatabad,78,132,29
A,http://en.wikipedia.org/wiki/A_(disambiguation),79,131,16
Saint John,http://en.wikipedia.org/wiki/Saint_John,79,131,10
Saint-Jean,http://en.wikipedia.org/wiki/Saint-Jean,79,131,5
Jones House,http://en.wikipedia.org/wiki/Jones_House,82,129,2
Ranger,http://en.wikipedia.org/wiki/Ranger,82,129,21
Belmont,http://en.wikipedia.org/wiki/Belmont,84,127,16
Paris,http://en.wikipedia.org/wiki/Paris_(disambiguation),84,127,15
Runaway,http://en.wikipedia.org/wiki/Runaway,84,127,13
Jonathan,http://en.wikipedia.org/wiki/Jonathan,87,126,15
Robert Smith,http://en.wikipedia.org/wiki/Robert_Smith,87,126,16
Wave,http://en.wikipedia.org/wiki/Wave_(disambiguation),87,126,22
Wilson House,http://en.wikipedia.org/wiki/Wilson_House,87,126,3
Empire,http://en.wikipedia.org/wiki/Empire_(disambiguation),91,125,12
Holy Trinity Church,http://en.wikipedia.org/wiki/Holy_Trinity_Church,91,125,32
Jiří,http://en.wikipedia.org/wiki/Ji%C5%99%C3%AD,91,125,22
Victoria (geographical disambiguation),http://en.wikipedia.org/wiki/Victoria_(geographical_disambiguation),91,125,26
CCC,http://en.wikipedia.org/wiki/CCC,95,124,15
Delta,http://en.wikipedia.org/wiki/Delta,95,124,30
Tiger,http://en.wikipedia.org/wiki/Tiger_(disambiguation),95,124,19
CP,http://en.wikipedia.org/wiki/CP,98,123,21
Emily,http://en.wikipedia.org/wiki/Emily,98,123,10
Georgios,http://en.wikipedia.org/wiki/Georgios,98,123,22
Lyon,http://en.wikipedia.org/wiki/Lyon_(disambiguation),98,123,7
Richmond,http://en.wikipedia.org/wiki/Richmond,98,123,16
Franklin Township,http://en.wikipedia.org/wiki/Franklin_Township,103,122,17
Simplex,http://en.wikipedia.org/wiki/Simplex_(disambiguation),103,122,6
Dream,http://en.wikipedia.org/wiki/Dream_(disambiguation),105,121,14
Dąbrowa,http://en.wikipedia.org/wiki/D%C4%85browa,105,121,2
Go,http://en.wikipedia.org/wiki/Go,105,121,15
Magic,http://en.wikipedia.org/wiki/Magic,105,121,16
Tazehabad,http://en.wikipedia.org/wiki/Tazehabad_(disambiguation),105,121,30
Bond,http://en.wikipedia.org/wiki/Bond,110,120,13
Lincoln,http://en.wikipedia.org/wiki/Lincoln,110,120,16
Paradise,http://en.wikipedia.org/wiki/Paradise_(disambiguation),110,120,18
Clifton,http://en.wikipedia.org/wiki/Clifton,113,119,14
Ghost,http://en.wikipedia.org/wiki/Ghost_(disambiguation),113,119,12
Karimabad,http://en.wikipedia.org/wiki/Karimabad,113,119,26
Moore House,http://en.wikipedia.org/wiki/Moore_House,113,119,3
Titan,http://en.wikipedia.org/wiki/Titan,113,119,15
Villeneuve,http://en.wikipedia.org/wiki/Villeneuve,113,119,8
Elizabeth,http://en.wikipedia.org/wiki/Elizabeth,119,118,20
John Jones,http://en.wikipedia.org/wiki/John_Jones,119,118,9
Villa,http://en.wikipedia.org/wiki/Villa_(disambiguation),119,118,11
Hercules,http://en.wikipedia.org/wiki/Hercules_(disambiguation),122,117,19
Sunshine,http://en.wikipedia.org/wiki/Sunshine_(disambiguation),122,117,15
Villers,http://en.wikipedia.org/wiki/Villers,122,117,5
Apollo,http://en.wikipedia.org/wiki/Apollo_(disambiguation),125,116,17
Hero,http://en.wikipedia.org/wiki/Hero_(disambiguation),125,116,18
John Campbell,http://en.wikipedia.org/wiki/John_Campbell,125,116,14
Orion,http://en.wikipedia.org/wiki/Orion,125,116,19
Rio Grande,http://en.wikipedia.org/wiki/Rio_Grande_(disambiguation),125,116,6
Tracy,http://en.wikipedia.org/wiki/Tracy,125,116,10
Bliss,http://en.wikipedia.org/wiki/Bliss,131,115,10
Love,http://en.wikipedia.org/wiki/Love_(disambiguation),131,115,12
"Mehdiabad, Iran","http://en.wikipedia.org/wiki/Mehdiabad,_Iran",131,115,36
Riverside,http://en.wikipedia.org/wiki/Riverside,131,115,8
St. Paul's Church,http://en.wikipedia.org/wiki/St._Paul%27s_Church,131,115,33
ABC,http://en.wikipedia.org/wiki/ABC,136,114,20
Aslan,http://en.wikipedia.org/wiki/Aslan_(disambiguation),136,114,12
Davis House,http://en.wikipedia.org/wiki/Davis_House,136,114,3
George Smith,http://en.wikipedia.org/wiki/George_Smith,136,114,10
Real,http://en.wikipedia.org/wiki/Real,136,114,23
St. Mary Magdalene's Church,http://en.wikipedia.org/wiki/St._Mary_Magdalene%27s_Church,136,114,49
Sun,http://en.wikipedia.org/wiki/Sun_(disambiguation),136,114,26
Viking,http://en.wikipedia.org/wiki/Viking_(disambiguation),136,114,15
Nowa Wieś,http://en.wikipedia.org/wiki/Nowa_Wie%C5%9B,144,113,15
Pan,http://en.wikipedia.org/wiki/Pan,144,113,22
San Juan,http://en.wikipedia.org/wiki/San_Juan,144,113,19
Seth,http://en.wikipedia.org/wiki/Seth_(disambiguation),144,113,14
Mendez/Mendes,http://en.wikipedia.org/wiki/Mendez/Mendes,148,112,6
Notre Dame,http://en.wikipedia.org/wiki/Notre_Dame,148,112,30
Preston,http://en.wikipedia.org/wiki/Preston,148,112,12
Salem,http://en.wikipedia.org/wiki/Salem,148,112,23
Windsor,http://en.wikipedia.org/wiki/Windsor,148,112,16
Computational,http://en.wikipedia.org/wiki/Computational_(disambiguation_page),153,111,22
Forever,http://en.wikipedia.org/wiki/Forever,153,111,10
Gold,http://en.wikipedia.org/wiki/Gold_(disambiguation),153,111,13
Qasimabad,http://en.wikipedia.org/wiki/Qasimabad,153,111,29
Blue,http://en.wikipedia.org/wiki/Blue_(disambiguation),157,110,16
Center Township,http://en.wikipedia.org/wiki/Center_Township,157,110,14
Clement,http://en.wikipedia.org/wiki/Clement,157,110,6
Eagle,http://en.wikipedia.org/wiki/Eagle_(disambiguation),157,110,20
Gallagher,http://en.wikipedia.org/wiki/Gallagher,157,110,8
Metro,http://en.wikipedia.org/wiki/Metro,157,110,21
Revolution,http://en.wikipedia.org/wiki/Revolution_(disambiguation),157,110,14
Tara,http://en.wikipedia.org/wiki/Tara,157,110,19
Tazeh Kand,http://en.wikipedia.org/wiki/Tazeh_Kand,157,110,31
Falcon,http://en.wikipedia.org/wiki/Falcon_(disambiguation),166,109,20
Freedom,http://en.wikipedia.org/wiki/Freedom,166,109,17
San Miguel,http://en.wikipedia.org/wiki/San_Miguel,166,109,24
St. James' Church,http://en.wikipedia.org/wiki/St._James%27_Church,166,109,23
World Series Game 6,http://en.wikipedia.org/wiki/World_Series_Game_6,166,109,12
Game,http://en.wikipedia.org/wiki/Game_(disambiguation),171,108,12
Life,http://en.wikipedia.org/wiki/Life_(disambiguation),171,108,14
Napoleon,http://en.wikipedia.org/wiki/Napoleon_(disambiguation),173,107,18
Springfield,http://en.wikipedia.org/wiki/Springfield,173,107,14
Warrior,http://en.wikipedia.org/wiki/Warrior_(disambiguation),173,107,15
Clark House,http://en.wikipedia.org/wiki/Clark_House,176,106,2
Hope,http://en.wikipedia.org/wiki/Hope_(disambiguation),176,106,22
Liberty,http://en.wikipedia.org/wiki/Liberty_(disambiguation),176,106,10
Rome,http://en.wikipedia.org/wiki/Rome_(disambiguation),176,106,20
Santa Fe,http://en.wikipedia.org/wiki/Santa_Fe,176,106,8
St. Joseph's School,http://en.wikipedia.org/wiki/St._Joseph%27s_School,176,106,18
Walden,http://en.wikipedia.org/wiki/Walden_(disambiguation),176,106,13
Akbarabad,http://en.wikipedia.org/wiki/Akbarabad,183,105,28
Augustine,http://en.wikipedia.org/wiki/Augustine_(disambiguation),183,105,11
James Smith,http://en.wikipedia.org/wiki/James_Smith,183,105,8
König,http://en.wikipedia.org/wiki/K%C3%B6nig,183,105,10
Mac,http://en.wikipedia.org/wiki/Mac,183,105,12
Oakland,http://en.wikipedia.org/wiki/Oakland_(disambiguation),183,105,37
Saint-Julien,http://en.wikipedia.org/wiki/Saint-Julien,183,105,9
Serra,http://en.wikipedia.org/wiki/Serra,183,105,17
John Wilson,http://en.wikipedia.org/wiki/John_Wilson,191,104,14
Mackenzie,http://en.wikipedia.org/wiki/Mackenzie,191,104,22
Newton,http://en.wikipedia.org/wiki/Newton,191,104,13
Novo Selo,http://en.wikipedia.org/wiki/Novo_Selo,191,104,13
Old Mill,http://en.wikipedia.org/wiki/Old_Mill,191,104,11
Rock,http://en.wikipedia.org/wiki/Rock,191,104,16
A2,http://en.wikipedia.org/wiki/A2,197,103,38
Izvorul,http://en.wikipedia.org/wiki/Izvorul,197,103,1
Liberty Township,http://en.wikipedia.org/wiki/Liberty_Township,197,103,13
Mars,http://en.wikipedia.org/wiki/Mars_(disambiguation),197,103,12
Thompson House,http://en.wikipedia.org/wiki/Thompson_House,197,103,4
Color,http://en.wikipedia.org/wiki/Color_(disambiguation),202,102,12
Ebrahimabad,http://en.wikipedia.org/wiki/Ebrahimabad,202,102,33
Free,http://en.wikipedia.org/wiki/Free,202,102,12
John,http://en.wikipedia.org/wiki/John,202,102,11
John Anderson,http://en.wikipedia.org/wiki/John_Anderson,202,102,12
Mercury,http://en.wikipedia.org/wiki/Mercury,202,102,14
Richland Township,http://en.wikipedia.org/wiki/Richland_Township,202,102,16
Villiers,http://en.wikipedia.org/wiki/Villiers,202,102,7
Accademia,http://en.wikipedia.org/wiki/Accademia,210,101,6
Anti-partisan,http://en.wikipedia.org/wiki/Anti-partisan,210,101,8
Boston,http://en.wikipedia.org/wiki/Boston_(disambiguation),210,101,21
Hugh,http://en.wikipedia.org/wiki/Hugh,210,101,8
National Council,http://en.wikipedia.org/wiki/National_Council,210,101,13
Ritchie,http://en.wikipedia.org/wiki/Ritchie,210,101,7
Shadow,http://en.wikipedia.org/wiki/Shadow_(disambiguation),210,101,12
Sutton,http://en.wikipedia.org/wiki/Sutton,210,101,10
Grant Township,http://en.wikipedia.org/wiki/Grant_Township,218,100,13
Lion,http://en.wikipedia.org/wiki/Lion_(disambiguation),218,100,15
Pioneer,http://en.wikipedia.org/wiki/Pioneer,218,100,14
Reid,http://en.wikipedia.org/wiki/Reid,218,100,4
SOS,http://en.wikipedia.org/wiki/SOS_(disambiguation),218,100,13
St. Mary's School,http://en.wikipedia.org/wiki/St._Mary%27s_School,218,100,15
St. Peter ad Vincula,http://en.wikipedia.org/wiki/St._Peter_ad_Vincula,218,100,14
TC,http://en.wikipedia.org/wiki/TC,218,100,16
The Voice,http://en.wikipedia.org/wiki/The_Voice,218,100,9
Untitled,http://en.wikipedia.org/wiki/Untitled,218,100,8
CA,http://en.wikipedia.org/wiki/CA,228,99,14
David Williams,http://en.wikipedia.org/wiki/David_Williams,228,99,15
Fox,http://en.wikipedia.org/wiki/Fox_(disambiguation),228,99,13
John Moore,http://en.wikipedia.org/wiki/John_Moore,228,99,7
Origin,http://en.wikipedia.org/wiki/Origin,228,99,13
Oxford,http://en.wikipedia.org/wiki/Oxford_(disambiguation),228,99,15
Process,http://en.wikipedia.org/wiki/Process,228,99,11
Ragnar,http://en.wikipedia.org/wiki/Ragnar,228,99,4
Symphony No. 2,http://en.wikipedia.org/wiki/Symphony_No._2,228,99,1
Tribune,http://en.wikipedia.org/wiki/Tribune_(disambiguation),228,99,10
University College,http://en.wikipedia.org/wiki/University_College,228,99,15
Alpha,http://en.wikipedia.org/wiki/Alpha_(disambiguation),239,98,14
Bandar,http://en.wikipedia.org/wiki/Bandar,239,98,15
Boss,http://en.wikipedia.org/wiki/Boss,239,98,17
James Brown,http://en.wikipedia.org/wiki/James_Brown_(disambiguation),239,98,10
Kings,http://en.wikipedia.org/wiki/Kings,239,98,8
Legacy,http://en.wikipedia.org/wiki/Legacy,239,98,14
Rain,http://en.wikipedia.org/wiki/Rain_(disambiguation),239,98,12
Saint George,http://en.wikipedia.org/wiki/Saint_George_(disambiguation),239,98,14
Siren,http://en.wikipedia.org/wiki/Siren,239,98,15
Suzuki,http://en.wikipedia.org/wiki/Suzuki_(disambiguation),239,98,6
Vanguard,http://en.wikipedia.org/wiki/Vanguard_(disambiguation),239,98,20
William Wilson,http://en.wikipedia.org/wiki/William_Wilson,239,98,15
Arthur,http://en.wikipedia.org/wiki/Arthur_(disambiguation),251,97,16
Diamond,http://en.wikipedia.org/wiki/Diamond_(disambiguation),251,97,16
Echo,http://en.wikipedia.org/wiki/Echo_(disambiguation),251,97,17
Eileen,http://en.wikipedia.org/wiki/Eileen,251,97,5
Giant,http://en.wikipedia.org/wiki/Giant,251,97,22
Monte,http://en.wikipedia.org/wiki/Monte,251,97,15
PC,http://en.wikipedia.org/wiki/PC,251,97,11
Portland,http://en.wikipedia.org/wiki/Portland,251,97,15
Sentinel,http://en.wikipedia.org/wiki/Sentinel,251,97,23
Swan,http://en.wikipedia.org/wiki/Swan_(disambiguation),251,97,12
Buffalo,http://en.wikipedia.org/wiki/Buffalo,261,96,16
Humboldt,http://en.wikipedia.org/wiki/Humboldt,261,96,15
Resurrection,http://en.wikipedia.org/wiki/Resurrection_(disambiguation),261,96,12
Revelation,http://en.wikipedia.org/wiki/Revelation_(disambiguation),261,96,14
Roche,http://en.wikipedia.org/wiki/Roche,261,96,12
Roma,http://en.wikipedia.org/wiki/Roma,261,96,16
Sarab,http://en.wikipedia.org/wiki/Sarab,261,96,19
Taylor House,http://en.wikipedia.org/wiki/Taylor_House,261,96,3
York,http://en.wikipedia.org/wiki/York_(disambiguation),261,96,14
Michael Smith,http://en.wikipedia.org/wiki/Michael_Smith,270,95,16
Nasrabad,http://en.wikipedia.org/wiki/Nasrabad,270,95,27
National Theatre,http://en.wikipedia.org/wiki/National_Theatre,270,95,20
Rush,http://en.wikipedia.org/wiki/Rush,270,95,12
Smile,http://en.wikipedia.org/wiki/Smile_(disambiguation),270,95,9
St. Nicholas Church,http://en.wikipedia.org/wiki/St._Nicholas_Church,270,95,31
Troy,http://en.wikipedia.org/wiki/Troy_(disambiguation),270,95,14
World Cup,http://en.wikipedia.org/wiki/World_Cup,270,95,20
ACC,http://en.wikipedia.org/wiki/ACC,278,94,11
Bell,http://en.wikipedia.org/wiki/Bell,278,94,15
Evolution,http://en.wikipedia.org/wiki/Evolution_(disambiguation),278,94,10
Fairfield,http://en.wikipedia.org/wiki/Fairfield,278,94,11
First Congregational Church,http://en.wikipedia.org/wiki/First_Congregational_Church,278,94,28
Friends,http://en.wikipedia.org/wiki/Friends_(disambiguation),278,94,11
Hamilton,http://en.wikipedia.org/wiki/Hamilton,278,94,11
Iris,http://en.wikipedia.org/wiki/Iris,278,94,16
MP,http://en.wikipedia.org/wiki/MP,278,94,16
SAC,http://en.wikipedia.org/wiki/SAC,278,94,15
Saint-Hilaire,http://en.wikipedia.org/wiki/Saint-Hilaire,278,94,5
Somerset,http://en.wikipedia.org/wiki/Somerset_(disambiguation),278,94,11
Standard,http://en.wikipedia.org/wiki/Standard,278,94,12
Storm,http://en.wikipedia.org/wiki/Storm_(disambiguation),278,94,17
Triton,http://en.wikipedia.org/wiki/Triton,278,94,16
America,http://en.wikipedia.org/wiki/America,293,93,14
Arena,http://en.wikipedia.org/wiki/Arena_(disambiguation),293,93,13
Augusta,http://en.wikipedia.org/wiki/Augusta,293,93,15
Central Station,http://en.wikipedia.org/wiki/Central_Station_(disambiguation),293,93,7
D,http://en.wikipedia.org/wiki/D_(disambiguation),293,93,12
El Dorado,http://en.wikipedia.org/wiki/El_Dorado_(disambiguation),293,93,21
Fire,http://en.wikipedia.org/wiki/Fire_(disambiguation),293,93,11
Little River,http://en.wikipedia.org/wiki/Little_River,293,93,12
Middleton,http://en.wikipedia.org/wiki/Middleton,293,93,12
Rainbow,http://en.wikipedia.org/wiki/Rainbow_(disambiguation),293,93,10
Rivera,http://en.wikipedia.org/wiki/Rivera_(disambiguation),293,93,6
Royal Hospital,http://en.wikipedia.org/wiki/Royal_Hospital,293,93,22
Spider,http://en.wikipedia.org/wiki/Spider_(disambiguation),293,93,12
St. Mary's Cathedral,http://en.wikipedia.org/wiki/St._Mary%27s_Cathedral,293,93,37
Westwood,http://en.wikipedia.org/wiki/Westwood,293,93,10
Bricius,http://en.wikipedia.org/wiki/Bricius_(disambiguation),308,92,7
Crossroads,http://en.wikipedia.org/wiki/Crossroads,308,92,18
Dawson,http://en.wikipedia.org/wiki/Dawson,308,92,17
Heydarabad,http://en.wikipedia.org/wiki/Heydarabad,308,92,31
Lyle,http://en.wikipedia.org/wiki/Lyle,308,92,6
MCC,http://en.wikipedia.org/wiki/MCC,308,92,15
MU,http://en.wikipedia.org/wiki/MU,308,92,16
Odd Fellows Hall,http://en.wikipedia.org/wiki/Odd_Fellows_Hall,308,92,20
Omega,http://en.wikipedia.org/wiki/Omega_(disambiguation),308,92,24
Santiago,http://en.wikipedia.org/wiki/Santiago_(disambiguation),308,92,29
Summit,http://en.wikipedia.org/wiki/Summit_(disambiguation),308,92,9
Laurel,http://en.wikipedia.org/wiki/Laurel,319,91,9
Arrow,http://en.wikipedia.org/wiki/Arrow_(disambiguation),320,90,21
Bart,http://en.wikipedia.org/wiki/Bart,320,90,5
Boy,http://en.wikipedia.org/wiki/Boy_(disambiguation),320,90,8
Demon,http://en.wikipedia.org/wiki/Demon_(disambiguation),320,90,14
Excelsior,http://en.wikipedia.org/wiki/Excelsior,320,90,14
Flash,http://en.wikipedia.org/wiki/Flash,320,90,16
Gemini,http://en.wikipedia.org/wiki/Gemini,320,90,12
Introduction,http://en.wikipedia.org/wiki/Introduction,320,90,5
Jody,http://en.wikipedia.org/wiki/Jody,320,90,4
Luna,http://en.wikipedia.org/wiki/Luna,320,90,16
Maya,http://en.wikipedia.org/wiki/Maya,320,90,9
Q,http://en.wikipedia.org/wiki/Q_(disambiguation),320,90,15
Santa Cruz,http://en.wikipedia.org/wiki/Santa_Cruz,320,90,37
Union,http://en.wikipedia.org/wiki/Union,320,90,14
Wellington,http://en.wikipedia.org/wiki/Wellington_(disambiguation),320,90,18
Willow,http://en.wikipedia.org/wiki/Willow_(disambiguation),320,90,14
Bengt,http://en.wikipedia.org/wiki/Bengt,336,89,3
California,http://en.wikipedia.org/wiki/California_(disambiguation),336,89,12
Carnegie,http://en.wikipedia.org/wiki/Carnegie,336,89,7
Chicago,http://en.wikipedia.org/wiki/Chicago_(disambiguation),336,89,23
Enterprise,http://en.wikipedia.org/wiki/Enterprise,336,89,12
Eureka,http://en.wikipedia.org/wiki/Eureka,336,89,18
Federal Building,http://en.wikipedia.org/wiki/Federal_Building,336,89,2
Hilton,http://en.wikipedia.org/wiki/Hilton,336,89,12
King,http://en.wikipedia.org/wiki/King_(disambiguation),336,89,15
Ludlow,http://en.wikipedia.org/wiki/Ludlow_(disambiguation),336,89,16
Marion,http://en.wikipedia.org/wiki/Marion,336,89,10
Nexus,http://en.wikipedia.org/wiki/Nexus,336,89,11
Panther,http://en.wikipedia.org/wiki/Panther,336,89,12
Pole,http://en.wikipedia.org/wiki/Pole,336,89,11
Ram,http://en.wikipedia.org/wiki/Ram,336,89,11
Seaboard Air Line Depot,http://en.wikipedia.org/wiki/Seaboard_Air_Line_Depot,336,89,7
Shannon,http://en.wikipedia.org/wiki/Shannon,336,89,15
Slater,http://en.wikipedia.org/wiki/Slater_(disambiguation),336,89,6
Vector,http://en.wikipedia.org/wiki/Vector,336,89,8
Alice,http://en.wikipedia.org/wiki/Alice,355,88,16
Burchard,http://en.wikipedia.org/wiki/Burchard,355,88,24
Charles Smith,http://en.wikipedia.org/wiki/Charles_Smith,355,88,11
Concord,http://en.wikipedia.org/wiki/Concord,355,88,12
Crosby,http://en.wikipedia.org/wiki/Crosby,355,88,7
Eden,http://en.wikipedia.org/wiki/Eden,355,88,17
Firefly,http://en.wikipedia.org/wiki/Firefly_(disambiguation),355,88,17
Genesis,http://en.wikipedia.org/wiki/Genesis,355,88,12
Hollywood,http://en.wikipedia.org/wiki/Hollywood_(disambiguation),355,88,12
London,http://en.wikipedia.org/wiki/London_(disambiguation),355,88,13
Melvin,http://en.wikipedia.org/wiki/Melvin,355,88,6
Milton,http://en.wikipedia.org/wiki/Milton,355,88,10
Nova,http://en.wikipedia.org/wiki/Nova_(disambiguation),355,88,16
Porta,http://en.wikipedia.org/wiki/Porta,355,88,7
Robert Jones,http://en.wikipedia.org/wiki/Robert_Jones,355,88,17
Sacred Heart Church,http://en.wikipedia.org/wiki/Sacred_Heart_Church,355,88,15
Santa Rosa,http://en.wikipedia.org/wiki/Santa_Rosa,355,88,20
Shamsabad,http://en.wikipedia.org/wiki/Shamsabad,355,88,23
Superman,http://en.wikipedia.org/wiki/Superman_(disambiguation),355,88,13
Traveler,http://en.wikipedia.org/wiki/Traveler,355,88,20
William Anderson,http://en.wikipedia.org/wiki/William_Anderson,355,88,10
William Brown,http://en.wikipedia.org/wiki/William_Brown,355,88,9
Woodward,http://en.wikipedia.org/wiki/Woodward,355,88,6
7,http://en.wikipedia.org/wiki/7_(disambiguation),378,87,7
Black Rock,http://en.wikipedia.org/wiki/Black_Rock,378,87,14
CI,http://en.wikipedia.org/wiki/CI,378,87,17
Crash,http://en.wikipedia.org/wiki/Crash,378,87,11
Fathabad,http://en.wikipedia.org/wiki/Fathabad,378,87,21
Highland,http://en.wikipedia.org/wiki/Highland_(disambiguation),378,87,17
Holland,http://en.wikipedia.org/wiki/Holland_(disambiguation),378,87,20
I Love You,http://en.wikipedia.org/wiki/I_Love_You,378,87,6
Madison Township,http://en.wikipedia.org/wiki/Madison_Township,378,87,17
Phantom,http://en.wikipedia.org/wiki/Phantom,378,87,13
Potts,http://en.wikipedia.org/wiki/Potts,378,87,6
Red Devil,http://en.wikipedia.org/wiki/Red_Devil,378,87,16
Romano,http://en.wikipedia.org/wiki/Romano,378,87,4
Saint-Léger,http://en.wikipedia.org/wiki/Saint-L%C3%A9ger,378,87,7
Salim,http://en.wikipedia.org/wiki/Salim,378,87,5
Trinity,http://en.wikipedia.org/wiki/Trinity_(disambiguation),378,87,13
Vulcan,http://en.wikipedia.org/wiki/Vulcan,378,87,15
William Miller,http://en.wikipedia.org/wiki/William_Miller,378,87,11
